id,label,batch_id,ratio,filename,surface_target,style_block,negative_prompt,prompt
CAT-07,Signalisation badge V2,badge-batch-01,1:1,cat-07-signage-badge-v2-1x1.png,"mobile_category_badge, admin_category_badge, incident_lists","premium civic category badge, semi-realistic but simplified, strong central motif, polished rendering, tropical and territorial palette, French Guiana public-space cues, premium mobile readability, not flat emoji, not childish, no text in image, square composition","emoji, text, watermark, flat clipart, childish cartoon, low detail, generic smart city symbol, photorealistic photo look, busy composition, tiny unreadable subject","Premium civic category badge for damaged signage in French Guiana, semi-realistic simplified warning sign motif, strong silhouette, polished rendering, square composition, highly readable at small size, no text"
CAT-08,Batiments badge V2,badge-batch-01,1:1,cat-08-buildings-badge-v2-1x1.png,"mobile_category_badge, admin_category_badge, incident_lists","premium civic category badge, semi-realistic but simplified, strong central motif, polished rendering, tropical and territorial palette, French Guiana public-space cues, premium mobile readability, not flat emoji, not childish, no text in image, square composition","emoji, text, watermark, flat clipart, childish cartoon, low detail, generic smart city symbol, photorealistic photo look, busy composition, tiny unreadable subject","Premium civic category badge for municipal building issues in French Guiana, semi-realistic simplified public building facade motif, dignified and readable, polished rendering, square composition, highly readable at small size, no text"
ILL-01,Nid de poule apres pluie tropicale,terrain-batch-01,4:5,ill-01-road-pothole-rain-4x5.png,"onboarding, category_road, hero_cards","semi-realistic premium civic illustration, warm tropical light, cinematic composition, strong silhouette, French Guiana setting, lush vegetation, humid atmosphere, natural textures, polished details, mobile-friendly readability, emotionally engaging, not childish, not flat clipart, no text in image","text, watermark, logo, flat emoji style, childish cartoon, low detail, clipart, distorted perspective, blurry subject, overcrowded composition, generic european city, dry climate look, photorealistic photo look","Premium semi-realistic civic illustration of a dangerous pothole after tropical rain in French Guiana, wet road, puddles, humid atmosphere, lush roadside vegetation, visible damage and urgency, clear composition for mobile use, warm cinematic light despite overcast weather, public-space realism, no text, no photo look"
ILL-02,Lampadaire en panne au crepuscule,terrain-batch-01,4:5,ill-02-lighting-streetlight-dusk-4x5.png,"category_lighting, empty_states","semi-realistic premium civic illustration, warm tropical light, cinematic composition, strong silhouette, French Guiana setting, lush vegetation, humid atmosphere, natural textures, polished details, mobile-friendly readability, emotionally engaging, not childish, not flat clipart, no text in image","text, watermark, logo, flat emoji style, childish cartoon, low detail, clipart, distorted perspective, blurry subject, overcrowded composition, generic european city, dry climate look, photorealistic photo look","Premium semi-realistic civic illustration of a broken streetlight at dusk in French Guiana, residential public space, warm evening sky, one dark lamp post as clear focal point, humid tropical atmosphere, readable mobile composition, calm but concerning mood, no text"
ILL-03,Depot sauvage en bord de voirie,terrain-batch-01,4:5,ill-03-cleanliness-illegal-dumping-4x5.png,"category_cleanliness, landing_support","semi-realistic premium civic illustration, warm tropical light, cinematic composition, strong silhouette, French Guiana setting, lush vegetation, humid atmosphere, natural textures, polished details, mobile-friendly readability, emotionally engaging, not childish, not flat clipart, no text in image","text, watermark, logo, flat emoji style, childish cartoon, low detail, clipart, distorted perspective, blurry subject, overcrowded composition, generic european city, dry climate look, photorealistic photo look","Premium semi-realistic civic illustration of illegal dumping on a roadside in French Guiana, public space, tropical vegetation, clear pile of waste as focal point, realistic textures, mobile-friendly composition, civic vigilance mood, no text, no caricature"
ILL-04,Bouche d egout bouchee et ruissellement,terrain-batch-01,4:5,ill-04-drain-runoff-clogged-4x5.png,"category_networks, incident_guidance","semi-realistic premium civic illustration, warm tropical light, cinematic composition, strong silhouette, French Guiana setting, lush vegetation, humid atmosphere, natural textures, polished details, mobile-friendly readability, emotionally engaging, not childish, not flat clipart, no text in image","text, watermark, logo, flat emoji style, childish cartoon, low detail, clipart, distorted perspective, blurry subject, overcrowded composition, generic european city, dry climate look, photorealistic photo look","Premium semi-realistic civic illustration of a clogged drain causing runoff in French Guiana, blocked grate, flowing water, humid urban street, tropical environment, clear focal point, mobile-friendly composition, realistic public-space detail, no text"
ILL-05,Vegetation envahissante sur passage,terrain-batch-01,4:5,ill-05-greenery-overgrown-path-4x5.png,"category_greenery, empty_states","semi-realistic premium civic illustration, warm tropical light, cinematic composition, strong silhouette, French Guiana setting, lush vegetation, humid atmosphere, natural textures, polished details, mobile-friendly readability, emotionally engaging, not childish, not flat clipart, no text in image","text, watermark, logo, flat emoji style, childish cartoon, low detail, clipart, distorted perspective, blurry subject, overcrowded composition, generic european city, dry climate look, photorealistic photo look","Premium semi-realistic civic illustration of overgrown vegetation blocking a sidewalk in French Guiana, dense tropical plants, pedestrian path partially obstructed, humid atmosphere, clear public-space readability, cinematic warm light, no text"
ILL-06,Mobilier urbain degrade,terrain-batch-01,4:5,ill-06-urban-furniture-damaged-4x5.png,"category_furniture, cards","semi-realistic premium civic illustration, warm tropical light, cinematic composition, strong silhouette, French Guiana setting, lush vegetation, humid atmosphere, natural textures, polished details, mobile-friendly readability, emotionally engaging, not childish, not flat clipart, no text in image","text, watermark, logo, flat emoji style, childish cartoon, low detail, clipart, distorted perspective, blurry subject, overcrowded composition, generic european city, dry climate look, photorealistic photo look","Premium semi-realistic civic illustration of damaged urban furniture in French Guiana, broken public bench or local equipment, tropical public space, visible wear and tear, clear central subject, polished premium rendering, no text"
ILL-07,Signalisation endommagee,terrain-batch-01,4:5,ill-07-signage-damaged-4x5.png,"category_signage, awareness_cards","semi-realistic premium civic illustration, warm tropical light, cinematic composition, strong silhouette, French Guiana setting, lush vegetation, humid atmosphere, natural textures, polished details, mobile-friendly readability, emotionally engaging, not childish, not flat clipart, no text in image","text, watermark, logo, flat emoji style, childish cartoon, low detail, clipart, distorted perspective, blurry subject, overcrowded composition, generic european city, dry climate look, photorealistic photo look","Premium semi-realistic civic illustration of damaged road signage in French Guiana, clear warning sign bent or broken, roadside vegetation, humid tropical atmosphere, strong readability for mobile, no text"
ILL-08,Batiment communal degrade,terrain-batch-01,4:5,ill-08-municipal-building-degraded-4x5.png,"category_buildings, civic_storytelling","semi-realistic premium civic illustration, warm tropical light, cinematic composition, strong silhouette, French Guiana setting, lush vegetation, humid atmosphere, natural textures, polished details, mobile-friendly readability, emotionally engaging, not childish, not flat clipart, no text in image","text, watermark, logo, flat emoji style, childish cartoon, low detail, clipart, distorted perspective, blurry subject, overcrowded composition, generic european city, dry climate look, photorealistic photo look","Premium semi-realistic civic illustration of a degraded municipal building facade in French Guiana, public building entrance needing maintenance, realistic textures, tropical light, civic dignity, clear focal point, premium rendering, no text"
